target,feature,weight
y,janelas,-364.4797512156365
y,80,-369.8365273327472
y,cidade,-372.69004050259537
y,frei,-373.4681912972883
y,josue,-380.2064190278761
y,ribas,-380.2064190278761
y,degandar,-380.75275906611205
y,branco,-381.74711890652543
y,local,-383.4428014694313
y,dupla,-386.28844493047654
y,inducao,-387.421851105988
y,71,-400.56774932247936
y,sociais,-405.97478577545553
y,aberturas,-406.6340852856083
y,coletiva,-407.7485675363364
y,silveira,-407.848308210072
y,germania,-410.11575267873195
y,70,-432.1444419241234
y,praia,-433.3614201550554
y,cunha,-433.61181490739546
y,predio,-435.378946561279
y,confira,-438.5974819418043
y,fechada,-441.0807960483053
y,camarao,-441.212110316148
y,otima,-442.79057192783546
y,claudino,-443.8609417421394
y,outras,-443.9577255350305
y,99815,-444.7500901323947
y,6222,-444.7500901323947
y,anderson,-444.7500901323947
y,ar,-444.9683122159913
y,98,-445.0551636459131
y,103,-445.4109648494705
y,61,-446.33210706698446
y,decoracao,-446.42579045913226
y,faculdades,-447.0960505676085
y,32,-449.5639540323027
y,64,-450.5469646340839
y,oliveira,-451.68611820802107
y,69,-453.27913011381315
y,garibaldi,-456.4959773176961
y,89,-462.89910229478846
y,66,-462.9674443546901
y,padrao,-463.4709266886348
y,outro,-466.8767871685923
y,81,-468.3060091544137
y,zanella,-471.27622868090657
y,completa,-471.79674188081117
y,gen,-472.88027779273034
y,44,-473.3316158890739
y,publico,-473.4273541805014
y,atender,-476.26755401375976
y,sportcenter,-476.26755401375976
y,projetado,-476.26755401375976
y,destinados,-476.26755401375976
y,acessibilidade,-476.26755401375976
y,46,-479.9207211969033
y,rosario,-480.15785564775797
y,excelente,-480.94600577573874
y,restaurante,-484.21329534806137
y,aloisio,-486.6357476322155
y,biblioteca,-488.34356128351646
y,farroupilha,-490.0881635810365
y,67,-491.433456092971
y,construcao,-495.1621820834698
y,andradas,-498.1735335167541
y,002,-499.1469592683643
y,90,-499.21826282717666
y,60,-500.7707738484605
y,dutra,-503.23971350016654
y,tarso,-503.23971350016654
y,policia,-503.3459633833263
y,valparaiso,-503.37637312503057
y,jardim,-505.8775607836142
y,camera,-506.17651791321623
y,shopping,-506.89717306414605
y,bancada,-507.33595963534935
y,caldas,-507.5088746056208
y,prof,-510.17323603229306
y,osvaldo,-512.3056080728966
y,novo,-514.3172305516091
y,59,-517.7861963317991
y,alencar,-523.3814596116317
y,68,-532.5111390753482
y,108,-533.1523773292356
y,41,-534.0623242576839
y,coberto,-536.861213854485
y,50,-546.8430210500806
y,49,-548.1653584174155
y,cristovao,-551.0619867524802
y,45,-558.8115251776235
y,marinha,-562.3671618181506
y,cobertas,-567.5367253065924
y,espirito,-568.8387672316749
y,dom,-569.8715552924841
y,sol,-570.4389887037978
y,lavar,-572.4743885955395
y,38,-572.7405301423787
y,35,-573.4650851544866
y,granito,-578.5568451962899
y,91,-581.3979311631992
